variavel,descricao,valor,Fonte
participacao.familias.D.agencias,Parcela das vendas totais feitas para pessoas físicas no setor de agenciamento de viagens,0.56,"Caracterização do Setor de Agenciamento de Viagens (CNC, 2020)"
participacao.passageiros.receita.ciasaereas,Participação das receitas oriundas de passageiros na receita total das companhias aéreas (Passageiro + Penalidades + Bagagem),0.836839187193993,Anuário ANAC 2018
