V9001,descricao.produto,tru.cod,tru.desc,produto.intermediacao,produto.intermediacao.internacional,produto.intermediacao.49002,produto.intermediacao.50001,produto.intermediacao.51001,produto.intermediacao.55001,produto.intermediacao.56001,produto.intermediacao.90801
4102001,CINEMA (INGRESSO),59801,"Serviços cinematográficos, música, rádio e televisão",,,,,,,,
4100101,ALIMENTACAO,56001,Serviços  de alimentação,,,,,,,,
4100102,BEBIDAS,56001,Serviços  de alimentação,,,,,,,,
4100103,RESTAURANTES,56001,Serviços  de alimentação,,,,,,,,
4100104,BARES,56001,Serviços  de alimentação,,,,,,,,
4100105,LANCHONETES,56001,Serviços  de alimentação,,,,,,,,
4101701,"HOSPEDAGEM (HOTEL, POUSADA OU OUTRO TIPO DE ALOJAMENTO)",55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101702,HOTEL,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101703,POUSADA,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101704,MOTEL,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101705,PENSAO,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101706,DORMITORIO,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101707,ACAMPAMENTO,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101708,ALBERGUE,55001,Serviços de alojamento em hotéis e similares,,,,,,,,
4101901,ALUGUEL DE IMOVEIS POR TEMPORADA,68001,Aluguel efetivo e serviços imobiliários,,,,,,,,
4101201,AVIAO (VIAGEM NACIONAL),51001,Transporte aéreo,,,,,,,,
4101301,AVIAO (VIAGEM INTERNACIONAL),51001,Transporte aéreo,,,,,,,,
4101101,"TRANSPORTE AQUAVIARIO (BARCA, BALSA, NAVIO, ETC.)",50001,Transporte aquaviário,,,,,,,,
4101102,BARCA,50001,Transporte aquaviário,,,,,,,,
4101103,BARCO,50001,Transporte aquaviário,,,,,,,,
4101104,BALSA,50001,Transporte aquaviário,,,,,,,,
4101105,NAVIO,50001,Transporte aquaviário,,,,,,,,
4101106,FERRY-BOAT,50001,Transporte aquaviário,,,,,,,,
4100901,METRO,49002,Transporte terrestre de passageiros,,,,,,,,
4101001,TREM,49002,Transporte terrestre de passageiros,,,,,,,,
4100201,ONIBUS URBANO,49002,Transporte terrestre de passageiros,,,,,,,,
4100301,ONIBUS INTERMUNICIPAL,49002,Transporte terrestre de passageiros,,,,,,,,
4100401,ONIBUS INTERESTADUAL,49002,Transporte terrestre de passageiros,,,,,,,,
4100501,ONIBUS INTERNACIONAL,49002,Transporte terrestre de passageiros,,,,,,,,
4100601,"TRANSPORTE ALTERNATIVO (VAN, KOMBI, LOTADA, ETC.)",49002,Transporte terrestre de passageiros,,,,,,,,
4100602,VAN,49002,Transporte terrestre de passageiros,,,,,,,,
4100603,KOMBI,49002,Transporte terrestre de passageiros,,,,,,,,
4100604,CAMINHAO,49002,Transporte terrestre de passageiros,,,,,,,,
4100605,PAU-DE-ARARA,49002,Transporte terrestre de passageiros,,,,,,,,
4100701,TAXI,49002,Transporte terrestre de passageiros,,,,,,,,
4100801,MOTO-TAXI,49002,Transporte terrestre de passageiros,,,,,,,,
4106401,UBER,49002,Transporte terrestre de passageiros,,,,,,,,
2301401,GASOLINA COMUM (COMBUSTIVEL DE VEICULO),19912,Gasoálcool,,,,,,,,
2301501,GASOLINA ADITIVADA (COMBUSTIVEL DE VEICULO),19912,Gasoálcool,,,,,,,,
2301502,GASOLINA ESPECIAL (COMBUSTIVEL DE VEICULO),19912,Gasoálcool,,,,,,,,
2301601,ALCOOL (COMBUSTIVEL DE VEICULO),19912,Gasoálcool,,,,,,,,
2301701,OLEO DIESEL (COMBUSTIVEL DE VEICULO),19912,Gasoálcool,,,,,,,,
2301801,GAS VEICULAR,19912,Gasoálcool,,,,,,,,
5001301,ALUGUEL DE VEICULO SEM CONDUTOR,77001,Aluguéis não-imob. e gestão de ativos de propriedade intelectual,,,,,,,,
4501201,"ALUGUEL DE VEICULO PARA CASAMENTO, ANIVERSARIO, ETC.",77001,Aluguéis não-imob. e gestão de ativos de propriedade intelectual,,,,,,,,
2301901,ESTACIONAMENTO,52801,Armazenamento e serviços auxiliares aos transportes,,,,,,,,
2302001,PEDAGIO,52801,Armazenamento e serviços auxiliares aos transportes,,,,,,,,
2800201,TEATRO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800301,MUSEU (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800401,FEIRA OU EXPOSICAO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800402,FEIRA DE INFORMATICA (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800501,CIRCO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800601,PARQUE DE DIVERSAO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800602,PESCARIA (PARQUE DE DIVERSAO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800701,SHOW (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800702,SERESTA (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800703,FORRO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800704,BAR (COUVERT ARTISTICO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800801,BAILE OU FESTA (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800901,"DANCETERIA, BOATE OU CASA NOTURNA (INGRESSO)",90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800902,DANCETERIA (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800903,BOATE (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800904,DISCOTECA (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800905,CASA NOTURNA (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801001,FUTEBOL DE CAMPO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801101,VOLEIBOL (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801201,AUTOMOBILISMO (INGRESSO),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801301,JOGOS ELETRONICOS (FICHA),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801302,FLIPERAMA (FICHA),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801303,VIDEOGAME (FICHA),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801304,JOGOS ELETRONICOS (INTERNET),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801401,SINUCA (FICHA),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801501,ALUGUEL DE BICICLETA,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801601,ALUGUEL DE CADEIRA DE PRAIA,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801701,ALUGUEL DE QUADRA OU CAMPO,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801702,ALUGUEL DE QUADRA,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801703,ALUGUEL DE CAMPO,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801801,CLUBE (MENSALIDADE OU TAXA),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801802,ASSOCIACAO RECREATIVA (MENSALIDADE OU TAXA),90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801803,MENSALIDADE DE CLUBE,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2801804,TAXA DE CLUBE,90801,"Serviços de artes, cultura, esporte e recreação",,,,,,,,
2800101,CINEMA (INGRESSO),59801,"Serviços cinematográficos, música, rádio e televisão",,,,,,,,
2400101,ALMOCO OU JANTAR A PESO,56001,Serviços  de alimentação,,,,,,,,
2400102,ALMOCO A PESO,56001,Serviços  de alimentação,,,,,,,,
2400103,JANTAR A PESO,56001,Serviços  de alimentação,,,,,,,,
2400104,ALMOCO A PESO E BEBIDA,56001,Serviços  de alimentação,,,,,,,,
2400105,JANTAR A PESO E BEBIDA,56001,Serviços  de alimentação,,,,,,,,
2400106,ALMOCO A PESO E SOBREMESA,56001,Serviços  de alimentação,,,,,,,,
2400107,JANTAR A PESO E SOBREMESA,56001,Serviços  de alimentação,,,,,,,,
2400108,"ALMOCO A PESO, BEBIDA E SOBREMESA",56001,Serviços  de alimentação,,,,,,,,
2400109,"JANTAR A PESO, BEBIDA E SOBREMESA",56001,Serviços  de alimentação,,,,,,,,
2400201,ALMOCO OU JANTAR A LA CARTE,56001,Serviços  de alimentação,,,,,,,,
2400202,ALMOCO A LA CARTE,56001,Serviços  de alimentação,,,,,,,,
2400203,JANTAR A LA CARTE,56001,Serviços  de alimentação,,,,,,,,
2400204,ALMOCO A LA CARTE E BEBIDA,56001,Serviços  de alimentação,,,,,,,,
2400205,JANTAR A LA CARTE E BEBIDA,56001,Serviços  de alimentação,,,,,,,,
2400206,ALMOCO A LA CARTE E SOBREMESA,56001,Serviços  de alimentação,,,,,,,,
2400207,JANTAR A LA CARTE E SOBREMESA,56001,Serviços  de alimentação,,,,,,,,
2400208,"ALMOCO A LA CARTE, BEBIDA E SOBREMESA",56001,Serviços  de alimentação,,,,,,,,
2400209,"JANTAR A LA CARTE, BEBIDA E SOBREMESA",56001,Serviços  de alimentação,,,,,,,,
2400301,ALMOCO OU JANTAR (PRATO FEITO),56001,Serviços  de alimentação,,,,,,,,
2400401,REFEICAO FAST FOOD,56001,Serviços  de alimentação,,,,,,,,
2400402,REFEICAO FAST FOOD E BEBIDA,56001,Serviços  de alimentação,,,,,,,,
2400403,REFEICAO FAST FOOD E SOBREMESA,56001,Serviços  de alimentação,,,,,,,,
2400404,"REFEICAO FAST FOOD, BEBIDA E SOBREMESA",56001,Serviços  de alimentação,,,,,,,,
