V9001;descricao.produto;cnae;pas;tru.cod;tru.desc;discrepancias;produto.intermediacao;produto.intermediacao.internacional;produto.intermediacao.49002;produto.intermediacao.50001;produto.intermediacao.51001;produto.intermediacao.55001;produto.intermediacao.56001;produto.intermediacao.90801;POF2009
4105101;RODEIO (INGRESSO);90;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;Serviços de artes, cultura, esporte e recreação
4104401;MUSEU (INGRESSO);91;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;Serviços de artes, cultura, esporte e recreação
4102201;PARQUE DE DIVERSAO (INGRESSO);93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4102401;FUTEBOL DE CAMPO (INGRESSO);93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4102501;VOLEIBOL (INGRESSO);93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;Serviços de artes, cultura, esporte e recreação
4102601;AUTOMOBILISMO (INGRESSO);93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4104601;DANCETERIA, BOATE OU CASA NOTURNA;93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4104701;BASQUETEBOL (INGRESSO);93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;Serviços de artes, cultura, esporte e recreação
4104801;TENIS (INGRESSO);93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4104901;GOLFE (INGRESSO);93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4105001;HIPODROMO (INGRESSO);93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4105201;PESCA;93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;Serviços de artes, cultura, esporte e recreação
4105301;BOLICHE;93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;Serviços de artes, cultura, esporte e recreação
4105401;BINGO;93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;Serviços de artes, cultura, esporte e recreação
4105501;FLIPERAMA E SIMILARES;93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4105601;PEDALINHOS;93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4105701;COLONIA DE FERIAS;55;Serviços de alojamento;55001;Serviços de alojamento em hotéis e similares;;;;;;;;;;Serviços de alojamento em hotéis e similares
4106301;LOCACAO DE BICICLETAS;93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4106501;EXPOSICAO (INGRESSO);93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4106601;PARQUES NATURAIS E BALNEARIOS;91;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4106901;EVENTOS RELIGIOSOS;90;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4107101;TRIATLO (INGRESSO);93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4107201;HOQUEI (INGRESSO);93;Atividades culturais, recreativas e esportivas;90801;Serviços de artes, cultura, esporte e recreação;;;;;;;;;;#N/D
4102001;CINEMA (INGRESSO);59;Serviços audiovisuais;59801;Serviços cinematográficos, música, rádio e televisão;;;;;;;;;;Serviços cinematográficos, música, rádio e televisão
4100101;ALIMENTACAO;56;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;Serviços  de alimentação
4100102;BEBIDAS;56;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;Serviços  de alimentação
4100103;RESTAURANTES;56;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;Serviços  de alimentação
4100104;BARES;56;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;Serviços  de alimentação
4100105;LANCHONETES;56;Serviços de alimentação;56001;Serviços  de alimentação;;;;;;;;;;Serviços  de alimentação
4101701;HOSPEDAGEM (HOTEL, POUSADA OU OUTRO TIPO DE ALOJAMENTO);55;Serviços de alojamento;55001;Serviços de alojamento em hotéis e similares;;;;;;;;;;#N/D
4101702;HOTEL;55;Serviços de alojamento;55001;Serviços de alojamento em hotéis e similares;;;;;;;;;;Serviços de alojamento em hotéis e similares
4101703;POUSADA;55;Serviços de alojamento;55001;Serviços de alojamento em hotéis e similares;;;;;;;;;;#N/D
4101704;MOTEL;55;Serviços de alojamento;55001;Serviços de alojamento em hotéis e similares;;;;;;;;;;Serviços de alojamento em hotéis e similares
4101705;PENSAO;55;Serviços de alojamento;55001;Serviços de alojamento em hotéis e similares;;;;;;;;;;#N/D
4101706;DORMITORIO;55;Serviços de alojamento;55001;Serviços de alojamento em hotéis e similares;;;;;;;;;;#N/D
4101707;ACAMPAMENTO;55;Serviços de alojamento;55001;Serviços de alojamento em hotéis e similares;;;;;;;;;;#N/D
4101708;ALBERGUE;55;Serviços de alojamento;55001;Serviços de alojamento em hotéis e similares;;;;;;;;;;#N/D
4101901;ALUGUEL DE IMOVEIS POR TEMPORADA;55;Serviços de alojamento;68001;Aluguel efetivo e serviços imobiliários;;;;;;;;;;Aluguel efetivo e serviços imobiliários
4101201;AVIAO (VIAGEM NACIONAL);51;Transporte aéreo;51001;Transporte aéreo;;;;;;;;;;#N/D
4101301;AVIAO (VIAGEM INTERNACIONAL);51;Transporte aéreo;51001;Transporte aéreo;;;;;;;;;;#N/D
4101101;TRANSPORTE AQUAVIARIO (BARCA, BALSA, NAVIO, ETC.);50;Transporte aquaviário;50001;Transporte aquaviário;;;;;;;;;;#N/D
4101102;BARCA;50;Transporte aquaviário;50001;Transporte aquaviário;;;;;;;;;;Transporte aquaviário
4101103;BARCO;50;Transporte aquaviário;50001;Transporte aquaviário;;;;;;;;;;Transporte aquaviário
4101104;BALSA;50;Transporte aquaviário;50001;Transporte aquaviário;;;;;;;;;;Transporte aquaviário
4101105;NAVIO;50;Transporte aquaviário;50001;Transporte aquaviário;;;;;;;;;;Transporte aquaviário
4101106;FERRY-BOAT;50;Transporte aquaviário;50001;Transporte aquaviário;;;;;;;;;;Transporte aquaviário
4100901;METRO;49;Transporte ferroviário e metroferroviário;49002;Transporte terrestre de passageiros;1;;;;;;;;;Equip. de medida, teste e controle, ópticos e eletromédicos
4101001;TREM;49;Transporte ferroviário e metroferroviário;49002;Transporte terrestre de passageiros;1;;;;;;;;;Transporte terrestre de passageiros
